le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j0): 39.3
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j1): 33.3
le2m | 19/12/2015 - 10:33:57 | INFO | run_step: Récapitulatif
le2m | 19/12/2015 - 10:33:57 | INFO | RÉCAPITULATIF
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j2): Ok
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j3): Ok
le2m | 19/12/2015 - 10:33:57 | INFO | Dim-Latitude-E6520 (j1): Ok
le2m | 19/12/2015 - 10:34:33 | INFO | Dim-Latitude-E6520 (j0): Ok
le2m | 19/12/2015 - 10:34:33 | INFO | Ok Récapitulatif
le2m | 19/12/2015 - 10:34:33 | INFO | Moyenne de la période
le2m | 19/12/2015 - 10:34:33 | INFO | 201512191008_g_0    7
le2m | 19/12/2015 - 10:34:33 | INFO | Période 5
le2m | 19/12/2015 - 10:34:33 | INFO | Période 5
le2m | 19/12/2015 - 10:34:33 | INFO | run_func: newperiod
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j0) Ready for period 5
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j2) Ready for period 5
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j3) Ready for period 5
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j1) Ready for period 5
le2m | 19/12/2015 - 10:34:34 | INFO | run_step: Décision
le2m | 19/12/2015 - 10:34:34 | INFO | DÉCISION
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j2): 8
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j3): 6
le2m | 19/12/2015 - 10:34:34 | INFO | Dim-Latitude-E6520 (j1): 5
le2m | 19/12/2015 - 10:34:36 | INFO | Dim-Latitude-E6520 (j0): 0
le2m | 19/12/2015 - 10:34:36 | INFO | Ok Décision
le2m | 19/12/2015 - 10:34:36 | INFO | Somme des décisions
le2m | 19/12/2015 - 10:34:36 | INFO | G0: 19
le2m | 19/12/2015 - 10:34:36 | INFO | Calcul des gains de la période pour la partie CommonPoolResource
le2m | 19/12/2015 - 10:34:36 | INFO | GAINS
